E9Q557
O55111
O88307
P05784
P08074
P11679
P14094
P15105
P19001
P26040
P28843
P30275
P39654
P48193
P54987
P68368
P97429
P97449
Q02257
Q05920
Q0VAX3
Q2TPA8
Q61391
Q61473
Q64331
Q6PHU5
Q78IQ7
Q80W54
Q8BI08
Q8BJ64
Q8C0P5
Q8C522
Q8R3G9
Q8VCH7
Q8VDN2
Q91V12
Q91VU0
Q91WT8
Q99JB8
Q99JW5
Q99JY4
Q99LB2
Q9CQX2
Q9CYH2
Q9DCN2
Q9DCV7
Q9ESE1
Q9JJ00
Q9QYE6
Q9Z0G9
A2ARV4
O08528
O08734
O08912
O35350
O55143
O70252
O70400
O70503
O88792
P05480
P08113
P09803
P10107
P11930
P14824
P17047
P18242
P20108
P22437
P22892
P26043
P26231
P30999
P35279
P37040
P43883
P47713
P51150
P55012
P55249
P55302
P56546
P56677
P57746
P61022
P63024
P70302
P97431
P98203
Q02248
Q3TBT3
Q3UMY5
Q5SWU9
Q60930
Q61087
Q61301
Q61335
Q61490
Q61696
Q62425
Q64521
Q6DYE8
Q6PEM6
Q6ZQI3
Q6ZQM8
Q80X90
Q8BFZ9
Q8BGV3
Q8BH95
Q8BHD7
Q8BHI7
Q8BLF1
Q8BP48
Q8BU33
Q8BX70
Q8BYI8
Q8K2C9
Q8VBT6
Q91V01
Q921H8
Q922H2
Q922J9
Q99K01
Q99KE1
Q99P72
Q9CQN6
Q9CR62
Q9CZE3
Q9CZU6
Q9D0L7
Q9D312
Q9D662
Q9D666
Q9DCU2
Q9ER00
Q9ERG0
Q9ES97
Q9JHZ2
Q9QUJ7
Q9QXX4
Q9QY81
Q9QZD8
Q9QZQ1
Q9R1Q7
Q9WVP1
Q9Z0U1
Q9Z183
Q9Z2G6
