Q8VCW8
Q64133
Q8BW75
P33622
Q8BSY0
Q06890
P11087
Q01149
Q04857
Q02788
A2AX52
O35206
O35348
P31001
P51661
Q8BH64
Q99K41
Q8K0E8
Q8VCM7
Q61703
Q61704
P51885
P70255
P28653
P28654
Q61838
Q05186
P22599
Q00896
Q00897
Q00898
Q61247
Q9JJ59
O55137
Q9QYR9
P68033
P00329
P48962
P07724
P47738
Q9EST5
O35639
Q00623
P09813
P06728
P08226
Q91YI0
P97370
Q923D2
P35564
Q64314
P15379
P01027
P02463
P08122
Q8C6K9
Q8K4Q8
O89053
P43135
Q8C166
Q99LD8
Q501J6
Q9JIK5
Q9QZZ6
Q9ESX5
O08553
Q62188
Q9QXS6
O70318
Q01279
Q9EQP2
Q3U7R1
Q3TZZ7
Q61554
P35550
P29699
E9PV24
P11276
Q8BTM8
Q8VHX6
P50285
P29391
Q61553
Q9R0N0
Q9Z2A9
Q99JY3
P08752
Q9QZF2
Q9R087
Q8K297
Q8CGP6
P84244
P62806
O08756
P63158
Q3TEA8
P97290
P0DOV1
P01867
P01872
P01837
Q9D154
P70168
P24547
Q8VI75
Q6GU68
Q91V64
Q61702
P52480
P01631
P97927
P02469
O08573
Q99JW4
P21619
Q91ZX7
P19973
P14873
Q9Z2D6
Q62000
Q64449
P28665
Q61879
Q9CZR2
Q8CFI0
P46935
Q61941
Q9D6Z1
Q6DFW4
Q9CPP0
P09405
Q60597
Q9DCC4
Q9ET54
P11103
Q91ZA3
Q99MN9
Q61823
O70209
Q05793
P26618
Q9JI48
Q9Z239
P20918
Q9R0E2
Q9R0E1
Q61233
Q62009
O54724
Q01730
Q01405
P42208
O55131
Q61753
P19324
Q9EQU5
Q61235
P07759
Q60854
Q62261
P16546
Q9CY50
Q8CI59
P68369
P21981
Q8QZT1
Q8BWT1
Q62318
P26039
Q64511
P58771
Q6IRU2
Q9CRB6
Q921I1
Q62465
B9EJ86
P32921
